true_effect_sd,power_pate,power_sate
0.02,0.16528823100056722,0.4016433919406513
0.03,0.31258967732395637,0.7277021609734574
0.05,0.6882988095484901,0.9897324477436759
0.08,0.9750960223641145,0.9999994756091541
0.1,0.9983695158276995,0.9999999999784215
0.15,0.9999999653518996,1.0
