outcome,label,true_effect,pate,pate_se,pate_ci_low,pate_ci_high,pate_p_raw,sate,sate_se,sate_p_raw,n,pate_p_adj,sate_p_adj
affective_polarization,H1a: Affective polarization,0.0,-0.026247072977664404,0.01973313193933803,-0.06492330088094397,0.012429154925615166,0.18348475484368354,-0.016649475469645996,0.011626343974522753,0.1521302611166515,23391,0.22018170581242025,0.1521302611166515
issue_polarization,H1b: Issue polarization,0.0,0.008561277049598763,0.020070946643068546,-0.030777055506440686,0.04789960960563821,0.669706586785656,-0.008107312543650881,0.011577352781242093,0.483756561537688,23391,0.6697065867856559,0.34554040109834855
election_knowledge,H2a: Election knowledge,0.0,-0.03819997521643877,0.021017845689621242,-0.07939419580071683,0.0029942453678392864,0.0691402922465203,-0.024595610892577495,0.011625983966350653,0.03438119062175149,23391,0.1382805844930406,0.057301984369585814
news_knowledge,H2b: News knowledge,-0.025,-0.03979284599120684,0.02156863241908728,-0.08206658872840092,0.0024808967459872475,0.06504617745115082,-0.029561199814550597,0.011639942509684864,0.01109683619400248,23391,0.1382805844930406,0.0277420904850062
self_participation,H3a: Self-reported participation,-0.025,-0.029968937932664794,0.019938853487965737,-0.06904837266209848,0.00911049679676889,0.132828165795301,-0.022086980535476808,0.011594696889394069,0.056790352884334094,23391,0.19924224869295148,0.07098794110541762
self_turnout,H3b: Self-reported turnout,0.0,-0.0007392003833812141,0.019148456199359235,-0.038269484893668035,0.03679108412690561,0.9692063887610207,-0.014329855414642198,0.011536951073662304,0.21420579259060446,23391,0.8307483332237321,0.17850482715883706
onplatform_engagement,H3c: On-platform pol. engagement,-0.118,-0.15431014491189524,0.019519242635255063,-0.19256715748249387,-0.11605313234129662,2.6645352591003757e-15,-0.13745875290983087,0.01173531843345121,0.0,23391,1.5987211554602254e-14,0.0
